region_id,region_name_original,display_name_current,npa_match,lat,lng,name_changed,google_maps_name
153,"Highland","Highland — East","",30.3358,-97.6652,YES,""
154,"South Congress","St. Edward's","ST. EDWARDS",30.2230,-97.7557,YES,"St. Edward's"
156,"Barton Hills","Circle C Ranch — Southwest","",30.2024,-97.8289,YES,"Circle C Ranch"
157,"Bouldin Creek","St. Edward's — East","ST. EDWARDS",30.2326,-97.7507,YES,"St. Edward's"
158,"Northwood","Great Hills — South","",30.3479,-97.7600,YES,"Great Hills"
159,"Oak Hill","Oak Hill — Southeast","",30.1610,-97.8106,YES,""
160,"East 11th Street","West University — Northwest","WEST UNIVERSITY",30.2848,-97.7434,YES,"West University"
161,"University of Texas at Austin","University of Texas at Austin","WEST UNIVERSITY",30.2918,-97.7445,,""
162,"West Campus","West Campus","WEST UNIVERSITY",30.2843,-97.7496,,""
163,"Capitol Complex","Downtown — South","DOWNTOWN",30.2711,-97.7423,YES,"Downtown"
164,"Bouldin Creek","Zilker — East","ZILKER",30.2556,-97.7624,YES,"Zilker"
165,"East Cesar Chavez","Downtown — North #165","DOWNTOWN",30.2661,-97.7477,YES,"Downtown"
167,"Shady Hollow","Shady Hollow — North","",30.1964,-97.8177,YES,""
168,"Harris Ridge","Harris Ridge — Southeast","",30.3687,-97.6314,YES,""
169,"Georgian Acres","Georgian Acres — Southeast","",30.3199,-97.6148,YES,""
170,"Dawson","South Lamar — West","SOUTH LAMAR",30.2333,-97.7788,YES,"South Lamar"
171,"University of Texas at Austin Campus","Windsor Road","WINDSOR ROAD",30.2935,-97.7486,YES,"Windsor Road"
172,"Zilker","South Lamar — Northwest","SOUTH LAMAR",30.2376,-97.7823,YES,"South Lamar"
173,"Oak Hill","Oak Hill — Outer West","",30.2070,-97.8823,YES,""
176,"The Arboretum","North Burnet — East","NORTH BURNET",30.3920,-97.7259,YES,"North Burnet"
178,"Great Hills","North Shoal Creek — Southeast","NORTH SHOAL CREEK",30.3674,-97.7352,YES,"North Shoal Creek"
179,"West Lake Hills","West Oak Hill — Northeast","WEST OAK HILL",30.2573,-97.8877,YES,"West Oak Hill"
181,"Travis Heights","Pleasant Valley — West","PLEASANT VALLEY",30.2353,-97.7189,YES,"Pleasant Valley"
182,"Wells Branch","Wells Branch — Southwest","",30.4003,-97.6847,YES,""
183,"Del Valle","Del Valle","",30.3430,-97.5793,,""
185,"Montopolis","Creedmoor — Southeast","",30.1434,-97.6180,YES,"Creedmoor"
186,"North Lamar","North Lamar","",30.3156,-97.6354,,""
187,"Walnut Creek","Northwood — West","",30.4677,-97.7049,YES,"Northwood"
188,"Fern Bluff","Fern Bluff","",30.5003,-97.7950,,""
